customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
CUST-0,Male,0,Yes,No,42,Yes,No,No,No,Yes,No internet service,No,No,No internet service,Month-to-month,Yes,Electronic check,74.49,7415.81,No
CUST-1,Female,1,Yes,Yes,68,Yes,No phone service,Fiber optic,No,Yes,No,No internet service,No internet service,No,Month-to-month,No,Bank transfer (automatic),55.6,707.11,No
CUST-2,Male,0,No,Yes,62,Yes,Yes,Fiber optic,No internet service,No,No internet service,Yes,No,Yes,One year,Yes,Mailed check,46.63,5420.98,No
CUST-3,Male,0,Yes,No,69,Yes,Yes,DSL,Yes,No internet service,No,No internet service,No internet service,No,Month-to-month,Yes,Bank transfer (automatic),66.17,4577.97,Yes
CUST-4,Male,0,Yes,No,64,Yes,No,Fiber optic,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),56.15,1507.41,Yes
CUST-5,Female,1,Yes,No,66,Yes,Yes,Fiber optic,No internet service,No internet service,No,No internet service,Yes,No internet service,One year,Yes,Electronic check,101.03,2032.95,No
CUST-6,Male,0,Yes,No,53,Yes,No phone service,Fiber optic,Yes,Yes,No,No,Yes,No internet service,Two year,Yes,Electronic check,40.65,4432.89,No
CUST-7,Male,0,No,No,35,No,Yes,No,Yes,No,Yes,No,Yes,Yes,Month-to-month,Yes,Mailed check,31.67,7316.69,No
CUST-8,Male,0,No,No,70,No,No,Fiber optic,No,Yes,No internet service,No internet service,No,Yes,Two year,Yes,Credit card (automatic),101.7,5744.89,No
CUST-9,Female,0,No,No,14,No,Yes,DSL,No internet service,No,Yes,No internet service,Yes,Yes,Two year,Yes,Electronic check,42.34,250.82,No
CUST-10,Male,0,No,No,17,Yes,No,Fiber optic,No,Yes,No,No,No internet service,Yes,One year,No,Electronic check,21.22,1088.39,No
CUST-11,Male,0,No,No,3,Yes,No phone service,Fiber optic,Yes,No,No,Yes,Yes,No,One year,No,Mailed check,56.7,7504.74,Yes
CUST-12,Male,0,No,No,10,Yes,No phone service,Fiber optic,Yes,Yes,No,No,No internet service,No,Two year,No,Credit card (automatic),99.9,5553.62,Yes
CUST-13,Male,0,No,No,5,Yes,Yes,DSL,No internet service,Yes,No internet service,No,No internet service,Yes,Month-to-month,No,Bank transfer (automatic),61.19,171.21,Yes
CUST-14,Female,0,Yes,No,50,Yes,Yes,DSL,No,No,Yes,No,No,Yes,Two year,No,Bank transfer (automatic),65.01,5074.51,Yes
CUST-15,Male,0,No,No,57,Yes,Yes,Fiber optic,No,No internet service,No,Yes,No internet service,No,Month-to-month,Yes,Bank transfer (automatic),22.72,1447.87,No
CUST-16,Female,0,No,Yes,59,Yes,No phone service,DSL,No,No internet service,No internet service,No,No,Yes,Month-to-month,No,Mailed check,89.11,7820.82,Yes
CUST-17,Female,0,No,No,17,Yes,Yes,No,No internet service,No,No,No,No,No internet service,One year,No,Mailed check,52.37,1056.36,Yes
CUST-18,Female,1,No,No,66,Yes,No phone service,Fiber optic,No,No,No,Yes,Yes,No internet service,Month-to-month,No,Mailed check,90.86,670.9,No
CUST-19,Male,0,Yes,Yes,16,Yes,No,Fiber optic,No,No internet service,No,No,No,Yes,Two year,No,Electronic check,59.1,5487.25,No
CUST-20,Female,1,No,No,33,Yes,Yes,Fiber optic,Yes,Yes,No,No internet service,No internet service,Yes,Month-to-month,Yes,Mailed check,70.69,6742.07,Yes
CUST-21,Male,0,No,Yes,29,Yes,Yes,Fiber optic,Yes,No internet service,Yes,Yes,No internet service,No internet service,Month-to-month,No,Credit card (automatic),76.95,2340.46,No
CUST-22,Female,0,Yes,No,18,No,No,Fiber optic,No,No,No,No,No internet service,Yes,Month-to-month,No,Electronic check,37.69,2573.97,No
CUST-23,Female,1,No,Yes,8,Yes,No,DSL,No,Yes,No,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),47.4,3044.29,No
CUST-24,Female,0,No,No,39,Yes,No,No,Yes,No,Yes,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,76.56,6513.59,No
CUST-25,Female,0,No,No,43,Yes,No,DSL,No internet service,No internet service,Yes,Yes,Yes,Yes,One year,Yes,Electronic check,100.29,2240.2,No
CUST-26,Female,0,No,Yes,58,Yes,No phone service,No,Yes,Yes,No,Yes,Yes,Yes,Two year,Yes,Electronic check,114.14,765.7,Yes
CUST-27,Female,0,No,No,24,Yes,Yes,DSL,No,No internet service,Yes,No,No,No internet service,Month-to-month,Yes,Mailed check,70.42,2640.39,No
CUST-28,Female,0,No,Yes,70,Yes,No phone service,Fiber optic,No internet service,No internet service,Yes,Yes,No internet service,Yes,Month-to-month,No,Credit card (automatic),25.39,8211.89,No
CUST-29,Female,0,No,No,52,Yes,No phone service,Fiber optic,No,No internet service,Yes,No,No internet service,Yes,Month-to-month,Yes,Mailed check,113.6,3703.75,No
CUST-30,Male,0,Yes,No,47,Yes,No,DSL,No,Yes,Yes,No internet service,No,No,Month-to-month,No,Bank transfer (automatic),60.08,4767.74,No
CUST-31,Male,0,Yes,Yes,70,Yes,Yes,Fiber optic,No,No internet service,No,No internet service,Yes,No,Month-to-month,No,Electronic check,28.25,6483.85,Yes
CUST-32,Female,0,No,No,52,Yes,No phone service,Fiber optic,No internet service,Yes,No internet service,No,No,No internet service,Month-to-month,Yes,Electronic check,115.22,4755.44,Yes
CUST-33,Female,0,Yes,Yes,48,Yes,No phone service,No,No,No internet service,No internet service,Yes,No internet service,No internet service,Two year,No,Electronic check,46.05,5589.38,No
CUST-34,Female,0,No,No,42,No,No,Fiber optic,No internet service,No internet service,No,No,Yes,No internet service,Two year,Yes,Credit card (automatic),83.68,7485.12,No
CUST-35,Male,0,Yes,No,18,Yes,Yes,No,Yes,No,No internet service,No,No,No,One year,No,Electronic check,32.41,3181.46,No
